,Nod_ref,Way_Id,highway,junction,lanes,name,color,size1,size2,Lon,Lat
1865,"[893380950, 893382753, 893376792, 893379147, 893373384, 893374874, 893382081, 893372400, 893380481, 893382498, 893376433, 893378740, 893373166, 893374521, 893381738, 893383219, 893377611, 893379648, 893373816, 893375515, 893382572, 893372758, 893378890, 893380609, 893374646, 893376546, 893372203, 893373222, 893379729, 893381857, 893375637, 893377739, 893372801, 893373906, 893380759, 893382661, 893376649, 893378998, 893373260, 893374747, 893379437]",75673603,track,,,,0,0,0,"[-3.5389343000000002, -3.5394707999999997, -3.5396754999999995, -3.5397955000000003, -3.5397813999999999, -3.5397248999999995, -3.5392096, -3.5389977999999997, -3.5387508000000003, -3.5386589999999996, -3.5384896000000001, -3.5383483999999998, -3.5381084, -3.5377836000000005, -3.5376495000000001, -3.5375012999999997, -3.5374447999999998, -3.5375507000000006, -3.5377342000000005, -3.5378541999999999, -3.5379037000000002, -3.5378612999999999, -3.5377766000000004, -3.5377272000000004, -3.5377201, -3.5377695, -3.5383343000000003, -3.5384896000000001, -3.5376707000000001, -3.5372189000000001, -3.5366470999999997, -3.5366754, -3.5369012000000004, -3.5372119, -3.537353, -3.5374800999999998, -3.5373388999999995, -3.5375507000000006, -3.5376635999999997, -3.5382989999999999, -3.5385178000000002]","[37.143401000000004, 37.142838299999994, 37.142686400000002, 37.142472600000005, 37.142196800000001, 37.141949200000006, 37.141892999999996, 37.1419943, 37.142056200000006, 37.1419943, 37.141853600000005, 37.1417073, 37.141572199999999, 37.141611600000005, 37.141589099999997, 37.141493400000002, 37.141369599999997, 37.1412008, 37.141071400000001, 37.140891299999993, 37.140784400000001, 37.140598700000005, 37.140379199999998, 37.140261100000004, 37.140148499999995, 37.140013500000002, 37.139670200000005, 37.139529500000002, 37.139726500000002, 37.139805200000005, 37.139653299999999, 37.1395464, 37.139501399999993, 37.139394500000002, 37.139276299999999, 37.139073700000004, 37.138792299999999, 37.1387079, 37.138381500000001, 37.137835700000004, 37.137385500000001]"
1866,"[900947470, 900947431, 900947865, 900947897, 900947529, 900947833, 900947464, 900947495, 900947626, 900947508, 900947639, 900947694, 900947878, 900947608, 900947786, 2142513451, 900947850, 900947476, 900947730, 900947908, 900947445, 900947573, 900947872]",76389173,track,,,,0,0,0,"[-3.5563229000000001, -3.5559112999999996, -3.5555555000000001, -3.5549696000000002, -3.5545410999999998, -3.5540601999999999, -3.5538415999999997, -3.5535442000000002, -3.5530894999999996, -3.5526697999999999, -3.5523375000000001, -3.5520752, -3.5516904, -3.5515767, -3.5513667999999998, -3.5512571000000004, -3.5510432999999999, -3.5506584999999999, -3.5501862999999996, -3.5497141000000005, -3.5493906000000002, -3.5490057999999998, -3.5486648000000001]","[37.1730138, 37.172830299999994, 37.172671700000002, 37.172462599999996, 37.172072399999998, 37.171912200000001, 37.171744899999993, 37.171689200000003, 37.171786700000006, 37.171640400000001, 37.171424399999999, 37.171201399999994, 37.171138700000007, 37.171201399999994, 37.171389599999998, 37.171446299999999, 37.171556799999998, 37.171508000000003, 37.171389599999998, 37.171417400000003, 37.171354700000002, 37.171250200000003, 37.1713965]"
1867,"[900947547, 900947512]",76389181,residential,,,Calle Monseñor Guevara,#FFFFFF,medio,1,"[-3.5496498999999995, -3.5486141000000004]","[37.162919899999999, 37.162727000000004]"
1868,"[622133509, 622133510, 622133511, 622133512, 622133513, 622133514, 622133515, 622133516, 622133517, 622133518, 622133519, 622133520, 622133521, 622133522, 622133523, 622133524, 622133525, 622133526, 622133527, 622133528, 622133529, 622133530, 622133531, 622133532, 622133533, 622133534, 900947753]",76389184,residential,,,Calle García Lorca,#FFFFFF,medio,1,"[-3.5426193000000001, -3.5425226999999997, -3.5424584000000001, -3.5423940000000003, -3.5424154000000003, -3.5426622000000001, -3.5429947999999998, -3.5432415999999995, -3.5435741999999997, -3.5438746000000001, -3.5440891000000003, -3.5442714999999998, -3.5443574, -3.5447758, -3.5450226000000002, -3.5451942000000001, -3.5452800000000004, -3.5452586000000004, -3.5451834999999998, -3.5450868999999998, -3.5450546999999997, -3.5451191, -3.5453337, -3.5454410000000003, -3.5456663000000002, -3.5457627999999999, -3.5459893999999998]","[37.1651162, 37.165159000000003, 37.165278700000002, 37.165424000000002, 37.165569399999995, 37.165765999999998, 37.165911399999999, 37.165877200000004, 37.165757499999998, 37.165586499999996, 37.165500999999999, 37.165347100000005, 37.165235899999999, 37.165150399999995, 37.165090599999999, 37.165081999999998, 37.165022200000003, 37.164945200000005, 37.164868299999995, 37.164799899999998, 37.164740000000002, 37.164671599999998, 37.164577600000001, 37.164594700000002, 37.164722900000001, 37.164825499999999, 37.165190600000003]"
1869,"[1602143588, 1706948352, 1706948354, 900947534]",76389190,residential,,,,#FFFFFF,medio,1,"[-3.5531347000000002, -3.5529330999999997, -3.5529008000000002, -3.5528388999999994]","[37.162738099999999, 37.162802800000001, 37.162856599999998, 37.162885100000004]"
1870,"[900947840, 1907035439, 1907035408, 900947895]",76389191,residential,,,Calle Manuel Cabrera,#FFFFFF,medio,1,"[-3.5499987999999996, -3.5497139999999998, -3.5492105999999999, -3.5487674]","[37.162745000000001, 37.162690699999999, 37.162594800000001, 37.162510299999994]"
1871,"[900947799, 900947857, 900947485, 900947739, 1582992482]",76389192,track,,,,0,0,0,"[-3.5404555000000002, -3.5393152000000003, -3.5390003999999999, -3.5387206, -3.5386818999999994]","[37.1683515, 37.169466399999997, 37.169834399999999, 37.170308200000008, 37.170642000000001]"
1872,"[900947629, 2360978511, 2360978518, 900947515, 2360978543, 2360978550, 900947646, 2360978546, 2360978541, 2360978536, 2360978538, 1583008923]",76389195,track,,,,0,0,0,"[-3.5808279999999999, -3.5810485000000001, -3.5812885999999997, -3.5815762000000002, -3.5819665999999999, -3.5823067000000002, -3.5824519000000001, -3.5826112000000001, -3.5828601999999998, -3.5831557999999997, -3.5834069999999998, -3.5834434999999996]","[37.177959100000002, 37.178090900000001, 37.178174100000007, 37.1782653, 37.178358299999999, 37.178429200000004, 37.178425200000007, 37.178388399999996, 37.178347700000003, 37.178310499999995, 37.178337100000007, 37.178260399999999]"
1873,"[900947500, 932082258, 900947829, 900947763, 900947593, 900947864, 900947665, 900947625, 900947494, 900947721, 900947561, 900947527, 900947894, 900947703, 900947550, 900947517, 900947883, 900947648]",76389197,track,,,,0,0,0,"[-3.5461428999999995, -3.5462154000000004, -3.5464089999999997, -3.5470648000000002, -3.5475458, -3.5479218000000001, -3.5483415000000003, -3.5488050000000002, -3.5492334999999997, -3.5494520999999999, -3.5496794999999999, -3.5498631, -3.5501254000000002, -3.5504665000000002, -3.5508250000000001, -3.5512090999999999, -3.5516226999999998, -3.5519617999999995]","[37.168514700000003, 37.168541900000001, 37.168504299999995, 37.168253499999999, 37.168065300000002, 37.168037400000003, 37.168065300000002, 37.168183800000001, 37.168371899999997, 37.1684834, 37.168678499999999, 37.168838799999996, 37.168999100000001, 37.169096600000003, 37.1690896, 37.169034600000003, 37.1689261, 37.1686646]"
1874,"[900947431, 900947556, 900947596, 900947771, 900947523, 900947656, 900947710, 900947891, 900947621, 900947807, 900947884, 900947427, 1602132711]",76389199,track,,,,0,0,0,"[-3.5559112999999996, -3.5567184999999997, -3.5576453999999997, -3.5583624999999999, -3.559097, -3.5595254999999999, -3.5598578000000001, -3.5605661, -3.5612394999999997, -3.5616866000000003, -3.5618373000000001, -3.5619662000000005, -3.5623586999999999]","[37.172830299999994, 37.172246600000001, 37.171584700000004, 37.171466199999998, 37.171494099999997, 37.171319899999993, 37.171062100000007, 37.1707903, 37.170386200000003, 37.169927100000002, 37.169664500000003, 37.169307000000003, 37.167277599999998]"
1875,"[900947479, 900947545, 900947583, 900947741, 900947506, 622133766]",76389203,residential,,,Calle Nardos,#FFFFFF,medio,1,"[-3.5367623999999998, -3.5367481000000001, -3.5366836999999998, -3.5367408999999999, -3.5368769000000002, -3.5370732000000005]","[37.165147499999996, 37.164862499999998, 37.164514799999999, 37.164355200000003, 37.164201200000008, 37.164182000000004]"
1876,"[900947737, 2360978440, 2360978433, 900947511, 900947641, 2360978426, 2360978428, 900947635, 900947846, 2360978437, 900947568, 2360978432, 900947725, 2360978430, 2360978429, 900947781, 900947440]",76389210,track,,,,0,0,0,"[-3.5776246, -3.5776453999999998, -3.5780273, -3.5784889999999998, -3.5785809999999998, -3.5786781000000003, -3.5788053999999998, -3.5793184999999998, -3.5794191, -3.5795377999999998, -3.5796485000000002, -3.5797815000000002, -3.5798237999999998, -3.5798443, -3.5798318, -3.5796638000000001, -3.5792940000000004]","[37.175891999999997, 37.175809200000003, 37.175581200000003, 37.175267799999993, 37.175237500000001, 37.175240600000002, 37.175285700000003, 37.175637500000001, 37.175648899999999, 37.175647600000005, 37.175630700000006, 37.175532399999994, 37.175469200000002, 37.1754009, 37.1753395, 37.175210200000002, 37.1749291]"
1877,"[900947577, 900947544, 900947691, 1907035538, 900947474]",76389213,residential,,,,#FFFFFF,medio,1,"[-3.5464251000000004, -3.5460927000000004, -3.5459178999999996, -3.5452815000000002, -3.5446486000000004]","[37.1677149, 37.167578799999994, 37.167406799999995, 37.1671932, 37.166923700000005]"
1878,"[900947440, 900947804, 2360978414, 900947456, 900947489, 900947620, 900947423, 2360978390, 2360978388, 900947750, 2360978383, 900947513, 900947643, 2360978381, 2360978380, 900947697, 2360978379, 2360978377, 2360978374, 2360978375, 2360978376, 900947880, 2360978378, 900947611]",76389214,path,,,,#FF6347,linea,1,"[-3.5792940000000004, -3.5793306000000005, -3.5792988999999999, -3.5792413000000001, -3.5790127999999997, -3.5788715999999998, -3.5786099, -3.5786042, -3.5785680000000002, -3.5785351999999997, -3.5785318999999998, -3.5784205999999998, -3.5783475, -3.5784250000000002, -3.5785035999999999, -3.5785089999999995, -3.5784800000000003, -3.5784910000000005, -3.5785459999999998, -3.5786309000000003, -3.5787157999999994, -3.5788470999999999, -3.5790851999999997, -3.5793184999999998]","[37.1749291, 37.174822399999996, 37.174728399999999, 37.174628000000006, 37.174424500000001, 37.174292700000002, 37.174127300000002, 37.173742700000005, 37.173508500000004, 37.173420100000001, 37.173230500000003, 37.173097900000002, 37.172979600000005, 37.172938600000002, 37.172924899999998, 37.172888700000001, 37.172825899999999, 37.172782099999999, 37.172758299999998, 37.172760799999992, 37.172780799999998, 37.172788799999999, 37.172787100000001, 37.172814500000001]"
1879,"[900947521, 900947889, 900947594, 900947526]",76389217,residential,,,Calle Luis Rosales,#FFFFFF,medio,1,"[-3.5468182999999995, -3.5463388999999994, -3.5456953000000002, -3.5453763]","[37.164808299999997, 37.164101700000003, 37.163695799999999, 37.163673500000002]"
1880,"[244395970, 900947416, 900947737, 2360978441, 2360978443, 900947749, 900947482, 2360978449, 2360978452, 900947854, 2360978458, 900947790, 2360978464, 2360978466, 2360978471, 2360978474, 2360978477, 900947614, 900947882, 2360978499, 2360978513, 2360978517, 900947699, 2360978520, 2360978523, 2360978531, 1583008923, 1583008922, 900947422]",76389218,track,,,,0,0,0,"[-3.5761345999999996, -3.5768196000000003, -3.5776246, -3.5778355999999998, -3.5780273, -3.5782799000000001, -3.5784519999999995, -3.5787629000000001, -3.5790002999999997, -3.5792313999999998, -3.5794764999999997, -3.5797290999999998, -3.5798176000000002, -3.5799307999999996, -3.5804478999999998, -3.5806160999999999, -3.5807497000000001, -3.5808584000000003, -3.5813343, -3.5813988999999999, -3.5821312999999995, -3.5823231, -3.5824802000000004, -3.5827946000000002, -3.5831042999999996, -3.5833242999999997, -3.5834434999999996, -3.5835540999999997, -3.5837474999999999]","[37.176197799999997, 37.176005799999999, 37.175891999999997, 37.175876799999998, 37.175889300000001, 37.175947499999999, 37.1760096, 37.176192399999998, 37.176365199999999, 37.176502800000002, 37.176649499999996, 37.176852099999998, 37.176898799999996, 37.176943799999997, 37.177090399999997, 37.177150500000003, 37.177219399999998, 37.177300099999997, 37.177778799999992, 37.177816700000001, 37.178099799999998, 37.178169899999993, 37.178193900000004, 37.178213700000008, 37.178237500000002, 37.178263799999996, 37.178260399999999, 37.178216999999997, 37.178093700000005]"
1881,"[900947498, 900947563, 2320158300, 900947734, 900947611, 900947509, 1426439501, 1906520637]",76389223,service,,,,#FFFFFF,medio,1,"[-3.5826467000000006, -3.5811245999999999, -3.5807779000000002, -3.5795112000000002, -3.5793184999999998, -3.5791891000000002, -3.5791263, -3.5790936000000002]","[37.175325999999998, 37.173327100000002, 37.173258000000004, 37.173010699999999, 37.172814500000001, 37.172663399999998, 37.172568100000007, 37.172474999999999]"
1882,"[1583008894, 900947903, 900947470, 900947503, 900947600, 900947633, 900947437, 900947565, 900947603, 900947778, 900947531, 900947669, 900947722, 900947899, 900947748, 900947421, 900947454, 900947585, 900947879, 900947510, 900947548, 900947695, 900947477, 900947609, 900947640, 900947851, 900947574, 900947731, 900947787, 900947446, 900947693, 900947877, 900947419, 900947546, 900947849, 900947475, 900947507, 900947638, 900947444, 900947572, 900947607, 900947785, 900947539, 900947681, 900947729, 900947907, 900947752, 900947425, 900947461, 900947589, 900947884, 900947518, 900947551, 900947704, 900947486, 900947618, 900947649, 900947858, 900947584, 900947747, 900947800, 900947452, 900947595, 900947768, 900947831, 900947463, 900947709, 900947890, 900947430, 900947555, 900947861, 900947490, 900947522, 900947655, 900947457, 900947587, 900947632, 900947844, 900947871, 900947501, 900947777, 900947435, 900947469, 900947602, 900947896, 900947841, 900947560, 900947720, 900947775, 900947433, 900947484, 900947616, 900947648, 900947855, 900947581, 900947738, 900947797, 900947450, 900947690, 900947876, 900947417, 900947543, 900947848, 900947473, 900947505, 900947637, 900947525, 900947660, 900947717, 900947893, 900947623, 900947824, 900947863, 900947492, 900947751, 900947424, 900947460, 900947588, 900947888, 900947428, 900947554, 900947442, 900947570, 900947606, 900947783, 900947537, 900947675, 900947727, 900947905, 1602154023]",76389224,track,,,,0,0,0,"[-3.5548381, -3.5550845999999998, -3.5563229000000001, -3.5582016000000003, -3.5595036000000002, -3.5609128999999999, -3.5629197000000001, -3.5639444999999998, -3.5647343999999999, -3.5650333000000001, -3.5653321000000004, -3.5657377999999995, -3.5668479, -3.5674030000000001, -3.5677658999999999, -3.5680434999999999, -3.5684917999999999, -3.5690468999999996, -3.5694248000000002, -3.5698580999999998, -3.5702637999999998, -3.5700076000000003, -3.5697513999999995, -3.5694525000000001, -3.5690254999999995, -3.5685370999999999, -3.5688546999999997, -3.5688044999999997, -3.5679696000000005, -3.5676592000000005, -3.5671254999999999, -3.5667624999999998, -3.5656951000000001, -3.5652681000000004, -3.5658872000000001, -3.5661861000000004, -3.5663141999999999, -3.5656309999999998, -3.5650546000000003, -3.5640726000000003, -3.5634747999999998, -3.5626207999999999, -3.5620017000000002, -3.5617882000000005, -3.5612972000000003, -3.5607848, -3.5607207999999999, -3.5614466, -3.5617027999999999, -3.5619377000000001, -3.5618373000000001, -3.5613184999999996, -3.5609342000000006, -3.5605072999999998, -3.5599949, -3.5594184999999996, -3.5589274, -3.5584790999999996, -3.5580734999999999, -3.5577532000000001, -3.5573902999999998, -3.5568992999999995, -3.5566217000000004, -3.5568352000000001, -3.5568565999999997, -3.5567925000000002, -3.5562160999999999, -3.5556635999999999, -3.5550633, -3.5549477999999994, -3.5548493999999997, -3.5546307999999995, -3.5542701000000001, -3.5537672999999996, -3.5535158999999998, -3.5538218999999995, -3.5543379999999996, -3.5546010000000003, -3.5547800999999999, -3.5549367999999997, -3.5552109999999999, -3.5552893999999999, -3.5551439, -3.5546457999999999, -3.5544330999999998, -3.5538834000000001, -3.5533434000000002, -3.5529936000000002, -3.5529237, -3.55281, -3.5523552999999999, -3.5521541999999999, -3.5519617999999995, -3.5520667000000001, -3.5521978999999999, -3.5523377999999997, -3.5524864999999997, -3.5525652000000001, -3.5525388999999996, -3.5523989999999999, -3.5522065999999999, -3.5520404999999999, -3.5518831, -3.5516382000000006, -3.5513059, -3.5512446999999998, -3.5511660000000003, -3.5513233999999998, -3.551647, -3.5519093000000002, -3.5518831, -3.5516557, -3.5515333, -3.5514021000000002, -3.5512709999999998, -3.5514196000000005, -3.5515682999999996, -3.5515682999999996, -3.5515300999999999, -3.5515300999999999, -3.5516281000000003, -3.5517750000000001, -3.5517819999999998, -3.5518169000000004, -3.5518869, -3.5519709000000002, -3.5521457000000001, -3.5523205999999998, -3.5526353999999998, -3.5529422999999993]","[37.173430799999998, 37.173166899999998, 37.1730138, 37.173388099999997, 37.173684700000003, 37.174221600000003, 37.175157200000001, 37.175701500000002, 37.1759907, 37.1760588, 37.175803600000002, 37.175633500000004, 37.175565500000005, 37.175344299999999, 37.174851000000004, 37.174391700000001, 37.174102500000004, 37.174000499999998, 37.173756299999994, 37.173507100000002, 37.173711299999994, 37.172656599999996, 37.173047799999992, 37.173336999999997, 37.173388099999997, 37.173273999999999, 37.173081899999993, 37.172853700000005, 37.1722264, 37.1723164, 37.172690600000003, 37.172945800000001, 37.173115899999999, 37.172673600000003, 37.172622600000004, 37.172265299999999, 37.171942100000003, 37.171346700000001, 37.170751299999999, 37.170309000000003, 37.170564200000008, 37.171142600000003, 37.172027200000002, 37.171686899999997, 37.171601899999999, 37.171789000000004, 37.171584899999999, 37.171244600000001, 37.170751299999999, 37.170104799999997, 37.169664500000003, 37.169968700000005, 37.170036799999998, 37.1698156, 37.170019799999999, 37.169951700000006, 37.170428100000002, 37.170274999999997, 37.170343000000003, 37.170002799999999, 37.170019799999999, 37.170530100000001, 37.170274999999997, 37.1698497, 37.169203199999998, 37.168982, 37.169169200000006, 37.169502799999997, 37.1698156, 37.1692477, 37.168908000000002, 37.1688732, 37.168864500000005, 37.168777399999996, 37.168725099999996, 37.168698999999997, 37.168787500000001, 37.168765200000003, 37.168684999999996, 37.168582399999998, 37.168470899999996, 37.1683995, 37.168354899999997, 37.168453100000001, 37.168448600000005, 37.1681211, 37.168093200000001, 37.168413700000002, 37.168574, 37.168762100000002, 37.168824799999996, 37.168706399999998, 37.1686646, 37.168532200000001, 37.168511299999999, 37.168643700000004, 37.168622799999994, 37.168504299999995, 37.168351000000001, 37.168253499999999, 37.168253499999999, 37.168086200000005, 37.1679399, 37.167877200000007, 37.167835400000001, 37.167730799999994, 37.167556599999998, 37.167438200000007, 37.167452099999998, 37.167375499999999, 37.167243100000007, 37.1672291, 37.167243100000007, 37.167089799999999, 37.166783100000004, 37.166511399999997, 37.166162999999997, 37.165939999999999, 37.165710900000001, 37.165560399999997, 37.165354100000002, 37.165153400000001, 37.164924799999994, 37.164701799999996, 37.1645179, 37.164361799999995, 37.164255900000001, 37.164110899999997, 37.163932500000001, 37.163708200000002]"
1883,"[900947624, 900947826, 900947558, 900947719, 900947774, 900947707, 1907035483, 900947493]",76389238,residential,,,Calle Vicente Alexandre,#FFFFFF,medio,1,"[-3.5440718999999996, -3.5443745000000004, -3.5447886, -3.5451300000000003, -3.5452307999999997, -3.5455608999999995, -3.5461217000000005, -3.5466945000000001]","[37.164282499999999, 37.164462899999997, 37.164369299999997, 37.164034800000003, 37.1639099, 37.163945599999998, 37.164345200000007, 37.165187200000005]"
1884,"[900947429, 900947766, 900947559]",76389243,residential,,,Calle Rafael Alberti,#FFFFFF,medio,1,"[-3.5463231, -3.5459358999999995, -3.5453818999999998]","[37.165228999999997, 37.164556599999997, 37.164231000000001]"
1885,"[900947538, 900947733, 900947910, 900947552]",76389244,residential,,,,#FFFFFF,medio,1,"[-3.54609, -3.5446422999999996, -3.5443373999999994, -3.5440665999999998]","[37.168243100000005, 37.168047100000003, 37.167959799999998, 37.167683600000004]"
1886,"[900955824, 900955863, 900955802, 900955846, 900955989, 900956031, 900955970, 900956011, 2343245537, 900955885, 900955927, 900955860]",76396140,residential,,,,#FFFFFF,medio,1,"[-3.5141610000000001, -3.5139321000000003, -3.5137292999999996, -3.5139059000000001, -3.5140628999999999, -3.5142133999999996, -3.5142461000000003, -3.5143900000000001, -3.5144763999999995, -3.5145535000000003, -3.5146451000000001, -3.5145797000000001]","[37.1631231, 37.163326099999999, 37.163456400000001, 37.163633700000005, 37.163821300000002, 37.164254100000001, 37.164660699999999, 37.1650256, 37.165237700000006, 37.165427100000002, 37.165661700000001, 37.165984899999998]"
1887,"[900955821, 900955944, 900955901, 900955968, 900955925, 900956050, 900956010, 900955801, 900955817, 900955880, 900955841, 900955965, 900955922, 900956015, 900955974, 900955826, 900955784, 900955849, 900955806, 900955930, 900955889, 900955952, 900955908, 900956035, 900955994, 900955788, 900956019, 900955869, 900955830, 900955861, 900955822, 900955945, 900955902, 900955972, 900955928, 900956052, 900956013, 900955804, 900956033, 900955887, 900955848, 900955904, 2343245703, 900955865, 900955991, 900955948, 900955874, 900955836, 900955959, 900955914, 900955980, 900955937, 900955793, 900955913, 900956024, 2343245640, 900955813, 900956042, 900955894, 900955854, 900955917, 900955876, 900956002, 900955961, 900955998, 900955956, 900955810, 900956039, 900955833, 900955791, 900955912, 900955872, 900955934, 900955892, 900956022, 900955978, 900955884, 900955845, 900955969, 900955926, 900956020, 900955977, 900955831, 900955789, 900955851, 900955809, 900955933, 900955891, 900955955, 900955911, 900956038, 900955997, 900955790, 900956021, 900955871, 900955832, 900955867, 900955828, 900955950, 900955906, 900955975, 900955931, 2343245509, 2343245520, 2343245525, 2343245530, 2343245535, 2343245543, 2343245554, 2343245566, 2343245569, 2343245557, 2343245537]",76396142,track,,,,0,0,0,"[-3.4879947000000002, -3.4880051000000001, -3.4885599000000003, -3.4889995000000003, -3.4895699999999996, -3.490847, -3.4922077000000007, -3.4927991, -3.4938807999999999, -3.4941817000000004, -3.4946068999999995, -3.4953854, -3.4961574, -3.4970143999999999, -3.4977339999999995, -3.4980546000000001, -3.4986106000000001, -3.4992714, -3.4996312000000005, -3.5003443000000001, -3.5007629999999996, -3.5008675999999999, -3.5010638999999997, -3.5013387000000002, -3.5014957000000004, -3.5017834999999997, -3.5018817000000002, -3.5018162000000004, -3.5014303, -3.5011554999999999, -3.5011424, -3.5012732000000004, -3.5015741999999999, -3.5020648000000003, -3.5024245999999999, -3.5030657999999995, -3.5037002999999998, -3.5040339999999999, -3.5042302000000003, -3.5046162000000005, -3.5051787999999999, -3.5056040999999998, -3.5060294000000001, -3.5061732000000005, -3.5063629000000001, -3.5065265000000001, -3.5066377000000002, -3.5065002999999999, -3.5062712999999994, -3.5060357999999998, -3.5063955999999998, -3.5066900000000003, -3.5067714999999997, -3.5068377999999996, -3.5070995000000003, -3.5072919999999996, -3.5073508000000002, -3.5074947000000001, -3.5076582999999997, -3.5077760000000002, -3.5078611000000004, -3.5079788000000001, -3.5080442000000001, -3.5080703999999998, -3.5081097000000003, -3.5082209000000004, -3.5084498000000002, -3.5087638999999995, -3.5089273999999997, -3.5091367999999994, -3.5093787999999999, -3.5096404999999997, -3.5097582000000003, -3.5100002999999997, -3.5100723, -3.5099807000000003, -3.5099282999999994, -3.5101572999999995, -3.5103863, -3.5106480000000002, -3.5107788000000002, -3.5107983999999997, -3.5108966000000001, -3.5111648, -3.5113741000000003, -3.5117404999999997, -3.5121592000000006, -3.5122835000000001, -3.5124012000000002, -3.5124796999999996, -3.5126171000000004, -3.5126955999999998, -3.5127807, -3.5129245999999998, -3.512918, -3.5127413999999999, -3.5125909000000002, -3.5123358000000002, -3.5123620000000004, -3.5125386000000001, -3.5131339000000001, -3.5136442000000003, -3.5137550000000002, -3.5138376000000004, -3.5140020999999999, -3.5141867999999996, -3.5143016999999999, -3.5143591000000001, -3.5143864999999996, -3.5143690999999997, -3.5144513999999996, -3.5144989, -3.5144763999999995]","[37.169472900000002, 37.169251899999999, 37.169331100000001, 37.169389500000001, 37.169293599999996, 37.169210200000002, 37.169097600000001, 37.169047499999998, 37.168893799999999, 37.168794800000001, 37.168794800000001, 37.168946000000005, 37.1687844, 37.168674899999999, 37.168570600000002, 37.168805200000001, 37.168925099999996, 37.169102299999999, 37.169081499999997, 37.169232700000002, 37.169399499999997, 37.169404700000001, 37.169290000000004, 37.169050200000001, 37.168867799999994, 37.168518499999998, 37.168325600000003, 37.168179600000002, 37.1680128, 37.167945000000003, 37.167877300000001, 37.167825100000002, 37.167835600000004, 37.167945000000003, 37.167918999999998, 37.167788600000002, 37.167700000000004, 37.167611399999998, 37.167408100000003, 37.167121399999999, 37.166808600000003, 37.166667799999999, 37.166567899999997, 37.166573999999997, 37.166553100000002, 37.166443600000001, 37.166292499999997, 37.166313299999999, 37.166334200000001, 37.166297700000001, 37.166183000000004, 37.166083899999997, 37.166040799999998, 37.166059400000002, 37.166027299999996, 37.166014200000006, 37.1658598, 37.165786799999999, 37.165682500000003, 37.1657242, 37.165854500000002, 37.166109999999996, 37.166130899999999, 37.166031799999999, 37.1657972, 37.165567799999998, 37.165432299999999, 37.165354100000002, 37.165135100000001, 37.1650256, 37.164994399999998, 37.1649162, 37.164801500000003, 37.164676299999996, 37.164718000000001, 37.164864000000001, 37.165004799999998, 37.164890100000001, 37.164864000000001, 37.164780600000007, 37.164613799999998, 37.164431299999997, 37.164306200000006, 37.164290600000001, 37.164212400000004, 37.164165399999995, 37.164222799999997, 37.164337500000002, 37.1644626, 37.164478199999998, 37.164327, 37.164175899999996, 37.164165399999995, 37.164186299999997, 37.164321799999996, 37.164645100000001, 37.164775399999996, 37.164796200000005, 37.164858799999998, 37.1648797, 37.164874400000002, 37.164957899999997, 37.164949900000003, 37.165059399999997, 37.1651369, 37.165174700000001, 37.165230399999999, 37.1653716, 37.165469099999996, 37.165552699999999, 37.165566600000005, 37.165496999999995, 37.165237700000006]"
1888,"[900956051, 900955935, 900955953, 900955995, 900955870, 900955909, 900955846]",76396156,residential,,,,#FFFFFF,medio,1,"[-3.515247, -3.5148413999999999, -3.514475, -3.5143637999999999, -3.5143377, -3.5142002999999997, -3.5139059000000001]","[37.165531299999998, 37.164947399999996, 37.164420899999996, 37.164233200000005, 37.163983000000002, 37.163764, 37.163633700000005]"
1889,"[900996627, 900996565, 900996687, 900996675, 900996616, 900996710, 900996637, 900996623, 900996581, 900996697, 900996628, 900996622, 900996574, 900996656, 900996600, 900996588, 900996723, 900996612, 900996563, 2343245423]",76405652,path,,,,#FF6347,linea,1,"[-3.5456532999999997, -3.5459794999999996, -3.5461052000000004, -3.5463795, -3.5466995000000003, -3.5471907999999996, -3.5474307999999999, -3.5475108, -3.5480364999999998, -3.5480251000000003, -3.5482421999999998, -3.5482193, -3.5478993999999999, -3.5480136, -3.5478650999999997, -3.5479792999999997, -3.5478650999999997, -3.5477050999999999, -3.5474193999999994, -3.5472144000000001]","[37.150799600000006, 37.150887899999994, 37.150760399999996, 37.150578199999998, 37.150669299999997, 37.150532700000007, 37.1505145, 37.150641999999998, 37.151006299999999, 37.151288700000002, 37.151634799999997, 37.152163000000002, 37.152336100000007, 37.152463599999997, 37.153155799999993, 37.153675, 37.154075700000007, 37.154695099999998, 37.154859000000002, 37.1551294]"
