,Nod_Id,Nod_Lat,Nod_Lon,Nod_Highway
80249,2202299602,37.1862707,-3.6046074,0
80250,2202299604,37.1864233,-3.6047811,0
80251,2202299606,37.1864325,-3.6047709,0
80252,2202299609,37.1864626,-3.6046649,0
80253,2202299611,37.1864647,-3.6048996,0
80254,2202299613,37.1864842,-3.6046261,0
80255,2202299615,37.1864906,-3.6046333,0
80256,2202299617,37.1865000,-3.6046397,0
80257,2202299618,37.1865122,-3.6046433,0
80258,2202299619,37.1865259,-3.6046460,0
80259,2202299620,37.1865417,-3.6046415,0
80260,2202299621,37.1865532,-3.6045132,0
80261,2202299622,37.1865547,-3.6046342,0
80262,2202299623,37.1865647,-3.6046234,0
80263,2202299625,37.1865655,-3.6045277,0
80264,2202299636,37.1865712,-3.6046135,0
80265,2202299638,37.1865741,-3.6045430,0
80266,2202299640,37.1865770,-3.6045990,0
80267,2202299642,37.1865799,-3.6045602,0
80268,2202299644,37.1865799,-3.6045791,0
80269,2202299646,37.1865886,-3.6038641,0
80270,2202299648,37.1865888,-3.6044529,0
80271,2202299650,37.1866329,-3.6038545,0
80272,2202299652,37.1866592,-3.6039072,0
80273,2202299654,37.1866755,-3.6043100,0
80274,2202299656,37.1866779,-3.6039000,0
80275,2202299658,37.1866797,-3.6038494,0
80276,2202299660,37.1866944,-3.6039000,0
80277,2202299662,37.1866977,-3.6046815,0
80278,2202299664,37.1867072,-3.6042468,0
80279,2202299666,37.1867138,-3.6039009,0
80280,2202299668,37.1867187,-3.6042540,0
80281,2202299670,37.1867199,-3.6038507,0
80282,2202299672,37.1867309,-3.6042585,0
80283,2202299674,37.1867325,-3.6039072,0
80284,2202299676,37.1867468,-3.6042576,0
80285,2202299678,37.1867498,-3.6039126,0
80286,2202299680,37.1867511,-3.6045927,0
80287,2202299681,37.1867648,-3.6042522,0
80288,2202299683,37.1867662,-3.6041221,0
80289,2202299684,37.1867682,-3.6051335,0
80290,2202299685,37.1867770,-3.6042405,0
80291,2202299687,37.1867799,-3.6041348,0
80292,2202299689,37.1867804,-3.6051221,0
80293,2202299691,37.1867841,-3.6052247,0
80294,2202299693,37.1867844,-3.6039361,0
80295,2202299695,37.1867878,-3.6042260,0
80296,2202299698,37.1867899,-3.6040797,0
80297,2202299701,37.1867899,-3.6041519,0
80298,2202299704,37.1867928,-3.6047658,0
80299,2202299707,37.1867943,-3.6041682,0
80300,2202299709,37.1867950,-3.6042061,0
80301,2202299712,37.1867956,-3.6038664,0
80302,2202299715,37.1867964,-3.6041890,0
80303,2202299718,37.1867995,-3.6047543,0
80304,2202299721,37.1868338,-3.6044437,0
80305,2202299724,37.1868542,-3.6048449,0
80306,2202299726,37.1868610,-3.6038845,0
80307,2202299728,37.1868659,-3.6050688,0
80308,2202299731,37.1868704,-3.6048161,0
80309,2202299733,37.1868842,-3.6043488,0
80310,2202299735,37.1869136,-3.6039098,0
80311,2202299737,37.1869143,-3.6050144,0
80312,2202299740,37.1869554,-3.6049330,0
80313,2202299743,37.1869741,-3.6044437,0
80314,2202299746,37.1869813,-3.6044292,0
80315,2202299766,37.1869819,-3.6048864,0
80316,2202299769,37.1870088,-3.6049106,0
80317,2202299771,37.1870412,-3.6039750,0
80318,2202299773,37.1870425,-3.6045042,0
80319,2202299775,37.1870597,-3.6044789,0
80320,2202299777,37.1871068,-3.6054280,0
80321,2202299779,37.1871362,-3.6040337,0
80322,2202299781,37.1871399,-3.6046152,0
80323,2202299783,37.1871490,-3.6043479,0
80324,2202299785,37.1871600,-3.6053693,0
80325,2202299788,37.1871629,-3.6046369,0
80326,2202299792,37.1871658,-3.6045701,0
80327,2202299794,37.1871964,-3.6042486,0
80328,2202299797,37.1872413,-3.6053726,0
80329,2202299800,37.1872625,-3.6053505,0
80330,2202299802,37.1872737,-3.6053672,0
80331,2202299805,37.1872744,-3.6054182,0
80332,2202299808,37.1872837,-3.6054087,0
80333,2202299811,37.1872888,-3.6054110,0
80334,2202299814,37.1872942,-3.6054101,0
80335,2202299815,37.1872999,-3.6054051,0
80336,2202299817,37.1873118,-3.6052958,0
80337,2202299819,37.1873237,-3.6053148,0
80338,2202299821,37.1873298,-3.6052755,0
80339,2202299823,37.1873514,-3.6053523,0
80340,2202299824,37.1873543,-3.6053342,0
80341,2202299826,37.1873553,-3.6053396,0
80342,2202299828,37.1873557,-3.6053464,0
80343,2202299830,37.1873580,-3.6057920,0
80344,2202299833,37.1873593,-3.6044271,0
80345,2202299836,37.1873599,-3.6058368,0
80346,2202299838,37.1873636,-3.6053220,0
80347,2202299842,37.1873762,-3.6060400,0
80348,2202299845,37.1873811,-3.6060844,0
80349,2202299848,37.1873894,-3.6060221,0
80350,2202299851,37.1873927,-3.6055650,0
80351,2202299854,37.1873966,-3.6060655,0
80352,2202299856,37.1874025,-3.6055550,0
80353,2202299860,37.1874296,-3.6059786,0
80354,2202299862,37.1874306,-3.6042994,0
80355,2202299865,37.1874462,-3.6059623,0
80356,2202299868,37.1874505,-3.6060111,0
80357,2202299870,37.1874530,-3.6055031,0
80358,2202299873,37.1874617,-3.6054932,0
80359,2202299876,37.1874678,-3.6059939,0
80360,2202299879,37.1874679,-3.6056719,0
80361,2202299882,37.1874875,-3.6056987,0
80362,2202299883,37.1875056,-3.6055582,0
80363,2202299885,37.1875082,-3.6054185,0
80364,2202299888,37.1875128,-3.6055513,0
80365,2202299902,37.1875199,-3.6055520,0
80366,2202299903,37.1875265,-3.6055558,0
80367,2202299906,37.1875301,-3.6055641,0
80368,2202299908,37.1875405,-3.6042790,0
80369,2202299910,37.1875520,-3.6055213,0
80370,2202299911,37.1875586,-3.6053623,0
80371,2202299914,37.1875596,-3.6055315,0
80372,2202299916,37.1875648,-3.6058136,0
80373,2202299918,37.1875682,-3.6055041,0
80374,2202299920,37.1875755,-3.6058028,0
80375,2202299922,37.1875851,-3.6061619,0
80376,2202299925,37.1875854,-3.6056452,0
80377,2202299928,37.1875872,-3.6056723,0
80378,2202299931,37.1875919,-3.6056669,0
80379,2202299934,37.1875923,-3.6056520,0
80380,2202299937,37.1875999,-3.6061443,0
80381,2202299938,37.1876072,-3.6049746,0
80382,2202299941,37.1876186,-3.6054479,0
80383,2202299944,37.1876247,-3.6057473,0
80384,2202299947,37.1876249,-3.6046659,0
80385,2202299950,37.1876273,-3.6049542,0
80386,2202299953,37.1876322,-3.6057391,0
80387,2202299956,37.1876351,-3.6046455,0
80388,2202299959,37.1876403,-3.6049727,0
80389,2202299962,37.1876413,-3.6050244,0
80390,2202299964,37.1876433,-3.6052710,0
80391,2202299967,37.1876482,-3.6050171,0
80392,2202299970,37.1876552,-3.6055702,0
80393,2202299973,37.1876563,-3.6056258,0
80394,2202299976,37.1876563,-3.6056411,0
80395,2202299979,37.1876568,-3.6050212,0
80396,2202299982,37.1876581,-3.6056515,0
80397,2202299986,37.1876588,-3.6056127,0
80398,2202299988,37.1876627,-3.6050183,0
80399,2202299991,37.1876631,-3.6056624,0
80400,2202299993,37.1876639,-3.6056028,0
80401,2202299995,37.1876648,-3.6059846,0
80402,2202299998,37.1876682,-3.6056714,0
80403,2202300000,37.1876689,-3.6050134,0
80404,2202300001,37.1876711,-3.6055942,0
80405,2202300003,37.1876722,-3.6059677,0
80406,2202300005,37.1876727,-3.6059575,0
80407,2202300007,37.1876743,-3.6056768,0
80408,2202300009,37.1876757,-3.6059725,0
80409,2202300011,37.1876767,-3.6059504,0
80410,2202300014,37.1876768,-3.6049001,0
80411,2202300016,37.1876778,-3.6046813,0
80412,2202300020,37.1876822,-3.6056813,0
80413,2202300023,37.1876901,-3.6049174,0
80414,2202300026,37.1876919,-3.6056845,0
80415,2202300049,37.1876941,-3.6052175,0
80416,2202300052,37.1876953,-3.6060299,0
80417,2202300055,37.1876961,-3.6048787,0
80418,2202300058,37.1876995,-3.6056845,0
80419,2202300062,37.1877027,-3.6053582,0
80420,2202300065,37.1877062,-3.6059923,0
80421,2202300068,37.1877088,-3.6056822,0
80422,2202300071,37.1877164,-3.6060066,0
80423,2202300076,37.1877167,-3.6056773,0
80424,2202300078,37.1877185,-3.6049582,0
80425,2202300080,37.1877234,-3.6049336,0
80426,2202300082,37.1877239,-3.6049505,0
80427,2202300084,37.1877255,-3.6056690,0
80428,2202300087,37.1877256,-3.6049416,0
80429,2202300089,37.1877270,-3.6058956,0
80430,2202300090,37.1877297,-3.6049272,0
80431,2202300091,37.1877321,-3.6058920,0
80432,2202300093,37.1877392,-3.6058911,0
80433,2202300095,37.1877409,-3.6045727,0
80434,2202300097,37.1877443,-3.6058974,0
80435,2202300099,37.1877489,-3.6063943,0
80436,2202300102,37.1877529,-3.6059426,0
80437,2202300104,37.1877538,-3.6053033,0
80438,2202300107,37.1877544,-3.6058884,0
80439,2202300110,37.1877601,-3.6046869,0
80440,2202300114,37.1877629,-3.6063794,0
80441,2202300118,37.1877631,-3.6051669,0
80442,2202300121,37.1877633,-3.6059584,0
80443,2202300125,37.1877703,-3.6051597,0
80444,2202300129,37.1877710,-3.6052834,0
80445,2202300132,37.1877743,-3.6057412,0
80446,2202300136,37.1877797,-3.6052942,0
80447,2202300140,37.1877816,-3.6066556,0
80448,2202300143,37.1877857,-3.6059331,0
80449,2202300146,37.1877948,-3.6066415,0
80450,2202300149,37.1877963,-3.6054162,0
80451,2202300153,37.1878070,-3.6054060,0
80452,2202300157,37.1878110,-3.6054379,0
80453,2202300160,37.1878126,-3.6054124,0
80454,2202300163,37.1878155,-3.6056984,0
80455,2202300166,37.1878185,-3.6052491,0
80456,2202300169,37.1878192,-3.6066747,0
80457,2202300173,37.1878196,-3.6051056,0
80458,2202300176,37.1878207,-3.6054277,0
80459,2202300179,37.1878262,-3.6057086,0
80460,2202300181,37.1878280,-3.6050954,0
80461,2202300183,37.1878282,-3.6063271,0
80462,2202300185,37.1878289,-3.6054239,0
80463,2202300186,37.1878328,-3.6057131,0
80464,2202300187,37.1878355,-3.6066568,0
80465,2202300198,37.1878406,-3.6054226,0
80466,2202300202,37.1878426,-3.6053888,0
80467,2202300205,37.1878440,-3.6057143,0
80468,2202300209,37.1878493,-3.6063055,0
80469,2202300212,37.1878498,-3.6065786,0
80470,2202300215,37.1878512,-3.6053562,0
80471,2202300218,37.1878528,-3.6054252,0
80472,2202300221,37.1878552,-3.6066327,0
80473,2202300224,37.1878562,-3.6057118,0
80474,2202300227,37.1878578,-3.6053651,0
80475,2202300230,37.1878604,-3.6063218,0
