,Nod_ref,Tags,Way_Id,access,amenity,area,barrier,bicycle,bridge,bus,cycleway,handrail,hgv,highway,junction,lanes,layer,leisure,name,name:en,oneway,oneway:conditional,parking:lane:both,psv,ref,route,sidewalk,surface,tourist_bus,tracktype,color_size,color,size1,size2
10,"['33143079', '33244594', '33244593', '2375977640', '21478903']","{'destination': 'centro; Recogidas', 'highway': 'motorway_link', 'ref': '129', 'oneway': 'yes'}",5004344,,,,,,,,,,,motorway_link,,,,,,,yes,,,,129,,,,,,"['#DC143C', 'grande', 1]",#DC143C,grande,1
11,"['1452513676', '311651415', '311651416', '311651417', '311651418', '1520053680', '311651419', '1520001494', '1520001512']","{'name': 'Calle de los Juncos', 'highway': 'residential'}",5004346,,,,,,,,,,,residential,,,,,Calle de los Juncos,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
12,"['881028794', '33244618', '881028995', '33244619', '33244620', '33244621', '33244622', '21478866']","{'highway': 'primary', 'oneway': 'yes'}",5004349,,,,,,,,,,,primary,,,,,,,yes,,,,,,,,,,"['#FFA07A', 'grande', 1]",#FFA07A,grande,1
13,"['1904573745', '1904573753', '1352816302', '330252137', '1676628482', '330252025', '304493009', '304493008', '1676628522']","{'name': 'Avenida de Andalucía', 'highway': 'primary', 'oneway': 'yes'}",6065708,,,,,,,,,,,primary,,,,,Avenida de Andalucía,,yes,,,,,,,,,,"['#FFA07A', 'grande', 1]",#FFA07A,grande,1
14,"['49937610', '534912486']","{'name': 'Plaza de Mariana Pineda', 'highway': 'residential'}",6065710,,,,,,,,,,,residential,,,,,Plaza de Mariana Pineda,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
15,"['49937389', '267110877', '534933427', '1654511180', '1694984315', '534933426']","{'name': 'Calle Pavaneras', 'highway': 'residential', 'oneway': 'yes'}",6065716,,,,,,,,,,,residential,,,,,Calle Pavaneras,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
16,"['254191559', '1381773394']","{'name': 'Calle Puerta Real De España', 'highway': 'residential', 'psv': 'yes', 'motor_vehicle': 'no @ (07:00-22:00).', 'wikipedia': 'en:Puerta real (Granada)'}",6065718,,,,,,,,,,,residential,,,,,Calle Puerta Real De España,,,,,yes,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
17,"['544658557', '544658845', '49937427']","{'name': 'Avenida del Hospicio', 'highway': 'residential', 'oneway': 'yes'}",6065721,,,,,,,,,,,residential,,,,,Avenida del Hospicio,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
18,"['1646809239', '49937476']","{'name': 'Plaza Pescadería', 'highway': 'pedestrian'}",6065724,,,,,,,,,,,pedestrian,,,,,Plaza Pescadería,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
19,"['267340819', '2216066631', '1381655140', '49937472', '267341175', '267341171', '304217773', '1646809257']","{'name': 'Calle Tablas', 'highway': 'residential', 'oneway': 'yes', 'access': 'designated'}",6065726,designated,,,,,,,,,,residential,,,,,Calle Tablas,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
20,"['49937519', '3087360134', '303932960', '303932871', '4362125538']","{'surface': 'cobblestone', 'name': 'Calle Oficios', 'highway': 'pedestrian', 'lit': 'yes'}",6065736,,,,,,,,,,,pedestrian,,,,,Calle Oficios,,,,,,,,,cobblestone,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
21,"['49937580', '49937573', '49937575', '1765152606', '49937577', '49937582']","{'highway': 'primary_link', 'oneway': 'yes'}",6065740,,,,,,,,,,,primary_link,,,,,,,yes,,,,,,,,,,"['#FFA07A', 'grande', 1]",#FFA07A,grande,1
22,"['283254010', '283253983', '49937569']","{'highway': 'primary_link', 'oneway': 'yes'}",6065741,,,,,,,,,,,primary_link,,,,,,,yes,,,,,,,,,,"['#FFA07A', 'grande', 1]",#FFA07A,grande,1
23,"['283253894', '2090030000', '564936271', '21293532']","{'highway': 'tertiary_link', 'oneway': 'yes'}",6065742,,,,,,,,,,,tertiary_link,,,,,,,yes,,,,,,,,,,"['#FFFFFF', 'grande', 1]",#FFFFFF,grande,1
24,"['49937603', '1345326937', '49937606']","{'name': 'Calle Joaquín Sorolla', 'highway': 'residential', 'motor_vehicle': 'no @ (05:00-23:00).'}",6065745,,,,,,,,,,,residential,,,,,Calle Joaquín Sorolla,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
25,"['507116407', '581052452']","{'name': 'Plaza Nueva', 'highway': 'residential', 'oneway': 'yes'}",6065748,,,,,,,,,,,residential,,,,,Plaza Nueva,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
26,"['1074121336', '3087360136', '1345327325', '582274754', '1654435898', '1654435900', '49937659']","{'name': 'Calle Almireceros', 'highway': 'residential', 'lit': 'yes', 'oneway': '-1'}",6065750,,,,,,,,,,,residential,,,,,Calle Almireceros,,-1,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
27,"['1074120297', '559919033', '1369780810', '746664150', '746665117']","{'surface': 'cobblestone', 'name': 'Calle Calderería Nueva', 'highway': 'pedestrian'}",6065752,,,,,,,,,,,pedestrian,,,,,Calle Calderería Nueva,,,,,,,,,cobblestone,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
28,"['49937683', '49937718']","{'name': 'Plaza Mirador de San Nicolás', 'highway': 'steps'}",6065753,,,,,,,,,,,steps,,,,,Plaza Mirador de San Nicolás,,,,,,,,,,,,"['#FF0000', 'peque', 1]",#FF0000,peque,1
29,"['49937792', '49937802', '746666000', '505381144']","{'name': 'Placeta de las Minas', 'highway': 'residential', 'source:name': 'survey'}",6065757,,,,,,,,,,,residential,,,,,Placeta de las Minas,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
