,Way_Id,Nod_ref,Tags
36,6066209,"['581031388', '49943548', '354662177']","{'name': 'Plaza de Bibataubín', 'highway': 'residential', 'oneway': 'yes'}"
37,6067225,"['49952930', '533647915', '533642663', '1727638451', '49952938', '49952940', '1329638659', '1727638418', '49952942', '1727638422', '533642639', '2068101732', '1351212929']","{'name': 'Cuesta de Gomérez', 'highway': 'pedestrian'}"
38,6067230,"['1329638688', '49953139', '1519470261', '4213260355', '4213260356', '582471198', '582471190']","{'name': 'Calle Cuartelillo', 'highway': 'residential'}"
39,6067232,"['49952932', '49953153']","{'name': 'Calle Cementerio de Santa Escolástica', 'highway': 'residential'}"
40,6067233,"['49953153', '1694984314', '1694984308', '1694984307']","{'name': 'Cuesta de Rodrigo del Campo', 'highway': 'residential'}"
41,6067234,"['1694984307', '49953150', '1695966399', '1694984306', '49953146']","{'name': 'Placeta del Hospicio Viejo', 'highway': 'residential'}"
42,6067235,"['49953146', '1329638679', '49953143']","{'name': 'Calle Damasqueros', 'highway': 'residential'}"
43,6067237,"['552908729', '1329638666', '49953142']","{'name': 'Calle Cocheras de San Cecilio', 'highway': 'residential', 'oneway': 'yes'}"
44,6067238,"['882456776', '49953170', '2068288724', '2068288717']","{'name': 'Paseo del Generalife', 'highway': 'residential', 'oneway': 'yes'}"
45,6067239,"['49953206', '49953207', '3579685209', '49953216', '49953221', '49953224', '49953227', '49953231', '49953233', '49953184', '2835411710', '2068288709', '49953172']",{'highway': 'footway'}
46,6067240,"['49953184', '49953187', '49953191', '49953194', '49953196', '49953197', '49953200', '49953202', '295148425', '295148427', '295148428', '295148429', '295148431', '295148433', '295148455', '295148438', '295148442', '295148443', '295148444', '295148447', '295148446']","{'highway': 'footway', 'created_by': 'JOSM'}"
47,6067241,"['295148498', '295148497', '295148500', '49953242', '49953245', '49953247']","{'highway': 'footway', 'created_by': 'JOSM'}"
48,6067242,"['49953247', '2068070244', '49953253', '49953257']",{'highway': 'footway'}
49,6067243,"['49953257', '2068101811', '49953266', '2068101790']",{'highway': 'footway'}
50,6067244,"['49953260', '49953308', '49953309', '49953310']",{'highway': 'footway'}
51,6554789,"['53276784', '1708718523', '1708718524', '1756699032', '1756699034']","{'name': 'Cuesta de San Augustin', 'highway': 'steps'}"
52,6554792,"['1756699029', '53276785']","{'name': 'Calle Peso de la Harina', 'highway': 'residential'}"
53,6554798,"['53276834', '1027266553', '1027266693', '53276835', '1027266838', '53276836']","{'name': 'Barranco de los Naranjos', 'highway': 'residential'}"
54,6554801,"['533625897', '1707003616', '533625898', '533625899', '533625900', '1707003614', '533625904', '1668850671', '1668850674', '53276878', '53276881', '533625889', '533625890', '533625891', '1668850655', '533625892', '1027266246', '533625893', '533625894', '1027266184', '1027266312', '533625895', '53276828', '53276829', '1027266438', '53276830', '53276831', '1027266578', '53276832', '53276837', '53276836']","{'name': 'Calle Verea de Enmedio', 'highway': 'residential'}"
55,6554802,"['53276841', '1027267412', '1027266151', '53276842', '1027266282', '1027266412', '53276858', '1027266545', '53276859']","{'name': 'Placeta de la Lomilla', 'highway': 'residential'}"
56,6554803,"['53276793', '1668850619', '1668850626', '53276868']","{'name': 'Calle Montes Claros', 'highway': 'steps'}"
57,6554805,"['53276870', '1748444099', '53276872']","{'name': 'Cuesta Juanillo Gallino', 'highway': 'footway'}"
58,6554812,"['53276879', '53276882', '53276883', '53276884', '53276885', '53276886', '53276887', '53276888', '1027266334', '1027266465', '53276889', '53276890', '53276891', '53276892', '53276893', '53276894', '53276895', '1027266611', '53276896', '53276897', '53276898', '53276899', '53276900', '53276901', '53276902', '53276903', '53276904']",{'highway': 'path'}
59,6554819,"['53276904', '53276941', '53276942', '53276943', '53276982', '53276981', '53276980', '53276979', '53276978', '53276977', '53276976', '53276975', '53276974', '53276973', '53276972', '53276971', '53276970', '53276963', '1511340705', '1511340706', '1511340715', '1511340717', '1511340719', '1511340720', '1511340721', '1511340722', '264674343']",{'highway': 'path'}
60,6554823,"['53276943', '53276947', '53276948', '53276949', '53276950', '53276951', '53276952', '53276953', '53276954', '53276955', '53276956', '53276957', '53276958', '53276959', '53276960', '53276961']",{'highway': 'path'}
61,6554831,"['53276950', '53276985', '53276987', '53276988', '53276989', '53276990']",{'highway': 'path'}
62,8313820,"['1767843070', '3492853602']","{'name': 'Paseo Jardín de la Reina', 'highway': 'residential'}"
63,8313828,"['301014848', '1449410610', '1449410599', '354662195', '21293573', '4353292879', '582477609']","{'name': 'Paseo de la Bomba', 'highway': 'primary', 'oneway': 'yes'}"
64,8617529,"['1692121831', '1692121839', '1598735952', '330250421', '1598735954', '330250498', '941644337', '1423279470', '1893807604', '33143018']","{'name': 'Avenida Luis Miranda Dávalos', 'highway': 'tertiary', 'oneway': 'yes'}"
65,8617663,"['61369656', '1203472502', '61369661', '61369672']","{'name': 'Carretera de Murcia', 'source:date': '2008', 'source': 'PNOA', 'highway': 'secondary', 'lanes': '2', 'oneway': 'yes'}"
66,9037258,"['61372948', '83533861', '1187111196', '61372957', '1814816492', '173035905', '1814805983', '1187111151', '1511337221', '1187111120', '1814816486', '1187111177', '1814816478', '1187111201', '61372967', '1187111128', '78640927']","{'name': 'Camino de San Antonio', 'highway': 'residential', 'oneway': 'yes'}"
67,9041049,"['61366594', '944852774', '582488824', '582488810', '66529930', '66530000', '1755892567', '66530087']","{'name': 'Calle Tibónidas', 'highway': 'residential'}"
68,9041061,"['61366590', '941644326', '1513971969', '82771422', '582488823', '1384732699', '1384732404', '77756964', '1384732407', '66530087', '265744851', '1755892554']","{'name': 'Avenida de Pulianas', 'highway': 'tertiary'}"
69,9041064,"['61366591', '582488815', '1512617418', '544473720', '1518843256', '1756998549', '1596078617', '1596078615']","{'name': 'Calle Periodista Luis de Vicente', 'highway': 'secondary', 'oneway': 'yes'}"
70,9707586,"['881029034', '76643274', '1669120263', '1669120271', '283372426']","{'highway': 'secondary', 'shoulder': 'yes', 'shoulder:width': '1', 'ref': 'A-395'}"
71,9711890,"['76643337', '304495809', '283254766', '304495800', '283254767', '283254768', '76643342']","{'maxspeed': '60', 'lit': 'yes', 'ref': 'A-395', 'name': 'Ronda Sur', 'layer': '-1', 'highway': 'motorway', 'tunnel': 'yes', 'lanes': '2', 'oneway': 'yes'}"
72,9711891,"['304495786', '1644654358', '1644654354', '76643347']","{'maxspeed': '80', 'highway': 'motorway_link', 'lanes': '1', 'oneway': 'yes'}"
73,9712172,"['76649100', '4009728235', '4009728237', '283254578', '1669120231', '4009728244', '4009728242', '1669120268', '283372426']","{'highway': 'secondary_link', 'oneway': 'yes'}"
74,9712678,"['494839394', '1449404590', '1449404586', '494839395']","{'highway': 'primary', 'junction': 'roundabout'}"
75,9712679,"['21293555', '2216077392', '2216077387', '552784308', '552784361', '21293499']","{'name': 'Plaza Rotary', 'surface': 'asphalt', 'maxspeed': '30', 'highway': 'primary', 'lanes': '2', 'junction': 'roundabout'}"
76,9714276,"['76685395', '76685390']","{'layer': '1', 'name': 'Puente San Antón', 'highway': 'tertiary', 'bridge': 'yes'}"
77,9714277,"['303991386', '388430245']","{'highway': 'primary', 'oneway': 'yes'}"
78,9714278,"['76685462', '310155026']",{'highway': 'residential'}
79,9776691,"['61366567', '312590782', '554895238', '554895117', '1352809675', '61366570']","{'name': 'Calle Náyades', 'highway': 'residential'}"
80,9776693,"['551498471', '1814668007', '1814668010', '61366588']","{'name': 'Calle Tete Montoliú', 'highway': 'secondary', 'oneway': 'yes'}"
81,9776694,"['61366590', '1513971971', '552778901', '290918460', '552778908', '1513971972', '61366591']","{'highway': 'secondary', 'junction': 'roundabout'}"
82,9776992,"['21293521', '77756920']","{'name': 'Plaza de San Isidro', 'highway': 'secondary', 'oneway': 'yes'}"
83,9777921,"['61366555', '484570719']","{'name': 'Calle Periodista Alberto Machado Cayuso', 'highway': 'residential', 'oneway': 'yes'}"
84,9777922,"['61366557', '61366560']","{'name': 'Calle Periodista Fernando Gómez de la Cruz', 'highway': 'tertiary', 'oneway': 'yes'}"
85,9777927,"['1589438808', '61366553', '306513492', '306513488', '306513507', '61366555']","{'name': 'Calle Periodista Rafael Gómez Montero', 'highway': 'residential'}"
86,9778712,"['82773673', '1595189781', '1595189785', '308834752', '1681774743', '308834753', '1595189803']","{'name': 'Calle Matilde Cantos', 'highway': 'residential'}"
87,9778717,"['77735539', '1828460934', '1684907825', '77735547']","{'name': 'Calle Gobernador Pedro Temboury', 'highway': 'tertiary', 'oneway': 'yes'}"
88,9778720,"['565567934', '1600943276', '1600943275', '1600943274', '582486694', '1751168619', '1751168616', '1751168613', '77735526']","{'name': 'Calle Pintor Chavarito', 'highway': 'residential'}"
89,9779227,"['33143048', '1132201480']","{'layer': '1', 'highway': 'motorway_link', 'bridge': 'yes', 'oneway': 'yes'}"
90,9779229,"['77747165', '1820004882', '1820004884', '1820004890', '1820004895', '1820004906', '1820004917', '1820004930']","{'name': 'Avenida de Andalucía (Cerrillo)', 'highway': 'motorway_link', 'oneway': 'yes'}"
